title,plot
The Shawshank Redemption,"The Shawshank Redemption is a drama film in which Andy Dufresne, a wrongly convicted banker, forms a transformative friendship in prison. Over the years, he quietly plans his escape while never losing hope."
The Godfather,The Godfather is a crime film following Don Vito Corleone as he oversees a powerful mafia family in postwar New York. His son Michael is reluctantly drawn into the brutal world of organized crime.
The Dark Knight,"The Dark Knight is an action film in which Batman battles the Joker, a mastermind who plunges Gotham City into chaos. The vigilante must push his limits to save the city from complete anarchy."
Pulp Fiction,"Pulp Fiction is a crime film weaving together interwoven stories of Los Angeles mobsters, small-time criminals, and a mysterious briefcase. Dark humor and a non-linear narrative connect its eccentric characters."
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring is a fantasy film in which Frodo Baggins inherits a ring of unspeakable power. He embarks on a perilous journey with allies to destroy it and save Middle-earth.
Forrest Gump,"Forrest Gump is a drama film about a simple man with a big heart who unwittingly influences historical events. Despite life's obstacles, he remains steadfast in kindness and optimism."
Inception,"Inception is a sci-fi film where a skilled thief infiltrates people’s dreams to steal secrets. He faces a formidable challenge when hired to plant an idea, risking his own reality in the process."
Fight Club,"Fight Club is a drama film in which an insomniac office worker and an eccentric soap salesman start an underground club. As its influence grows, the lines between reality and rebellion blur."
The Matrix,The Matrix is a sci-fi film where hacker Neo learns reality is a simulation controlled by machines. He joins a rebel group to liberate humanity from the artificial world.
Goodfellas,"Goodfellas is a crime film following a young man who rises through the ranks of the New York mob. As he indulges in crime, paranoia and betrayal begin tearing his life apart."
Se7en,Se7en is a crime/thriller film featuring two detectives who track a killer using the seven deadly sins as a pattern. Their investigation leads to a harrowing and unexpected finale.
The Silence of the Lambs,The Silence of the Lambs is a thriller film where FBI trainee Clarice Starling consults brilliant cannibal Dr. Hannibal Lecter. Their tense alliance helps her hunt down another serial killer.
Saving Private Ryan,Saving Private Ryan is a war film depicting a group of soldiers venturing behind enemy lines to rescue a paratrooper whose brothers have been killed. The horrors of battle challenge their sense of duty and humanity.
